Location	MovieDate	Formatted_Address	Lat	Lng
Edgebrook Park, Chicago 	Jun-7 A League of Their Own	Edgebrook Park, 6525 North Hiawatha Avenue, Chicago, IL 60646, USA	41.9998876	-87.7627672
Gage Park, Chicago 	Jun-9 It's a Mad, Mad, Mad, Mad World	Gage Park, Chicago, IL, USA	41.7954363	-87.6962257
Jefferson Memorial Park, Chicago 	Jun-12 Monsters University 	Jefferson Memorial Park, 4822 North Long Avenue, Chicago, IL 60630, USA	41.76083920000001	-87.6294353
Commercial Club Playground, Chicago 	Jun-12 Despicable Me 2	Chicago, IL, USA	41.8781136	-87.6297982
Revere Park, Chicago 	Jun-13 The Goonies	Paul Revere Park, 2509 West Irving Park Road, Chicago, IL 60618, USA	41.9539282	-87.6911867
West Chatham Park, Chicago 	Jun-13 Independence  Day	West Chatham Park, 8223 South Princeton Avenue, Chicago, IL 60620, USA	41.7446685	-87.6319177
Independence Park, Chicago 	Jun-13 Frozen	Independence Park, 3945 North Springfield Avenue, Chicago, IL 60618, USA	41.9526374	-87.7237263
Dunham Park, Chicago 	Jun-13 Delivery Man	Dunham Park, 4638 North Melvina Avenue, Chicago, IL 60630, USA	41.9658979	-87.7843266
Chopin Park, Chicago 	Jun-14 Gremlins	Chopin Park, 3420 North Long Avenue, Chicago, IL 60641, USA	41.942676	-87.7617358
Oz Park, Chicago 	Jun-14 Rookie of the Year	Oz Park, 2021 North Burling Street, Chicago, IL 60614, USA	41.9210045	-87.645164
Gross Park, Chicago 	Jun-14 On the Waterfront	Gross Park, Chicago, IL 60625, USA	41.9689803	-87.696784
Pulaski Park, Chicago 	Jun-14 Gravity	Pulaski Park, Chicago, IL, USA	41.9051078	-87.6624135
Holstein Park, Chicago 	Jun-15 Groundhog Day	Holstein Park, 2200 North Oakley Avenue, Chicago, IL 60647, USA	41.9216438	-87.6850879
Midway Plaisance Park, Chicago 	Jun-15 Patang	Midway Plaisance Park, Chicago, IL 60637, USA	41.7872	-87.59819999999999
Wolfe Playground Park, Chicago 	Jun-16 The Lego Movie	Wolfe Playground Park, 3325 East 108th Street, Chicago, IL 60617, USA	41.6980721	-87.54298500000002
Millenium Park, Chicago 	Jun-16 Strangers on a Train	Millennium Park, Chicago, IL, USA	41.8827024	-87.6193938
Kedvale Park, Chicago 	Jun-17 Gravity	Kedvale Park, 4134 West Hirsch Street, Chicago, IL 60651, USA	41.9062808	-87.7300667
Marquette Park, Chicago 	Jun-17 How to Train Your Dragon	Marquette Park, Chicago, IL, USA	41.7656499	-87.69907309999999
Montgomery Ward Park, Chicago 	Jun-17 As Good As It Gets	Ward, A. Montgomery Park, West Erie Street, Chicago, IL 60654, USA	41.8937062	-87.6417509
Harrison Park, Chicago 	Jun-18 Ghostbusters	Harrison Park, 1824 South Wood Street, Chicago, IL 60608, USA	41.8570517	-87.6712214
Robichaux Park, Chicago 	Jun-18 42	Robichaux Park, 9247 South Eggleston Avenue, Chicago, IL 60620, USA	41.7267384	-87.6343704
Hamilton Park, Chicago 	Jun-19 Gravity 	Hamilton Park, 513 West 72nd Street, Chicago, IL 60621, USA	41.7628237	-87.63769359999999
Bell Park, Chicago 	Jun-19 The Smurfs 2	Bell Park, 3020 North Oak Park Avenue, Chicago, IL 60634, USA	41.9352459	-87.7960202
Dunbar Park, Chicago 	Jun-19 Lee Daniels' The Butler	Dunbar Park, 300 East 31st Street, Chicago, IL 60616, USA	41.8383955	-87.6206261
Oakdale Park, Chicago 	Jun-19 Man of Steel	Oakdale Park, 965 West 95th Street, Chicago, IL 60643, USA	41.721005	-87.6485124
Olympia Park, Chicago 	Jun-20 The Lego Movie	Olympia Park, 6566 North Avondale Avenue, Chicago, IL 60631, USA	41.9999489	-87.8154294
Chase Park, Chicago 	Jun-20 Ghostbusters	Chase Park, 4701 North Ashland Avenue, Chicago, IL 60640, USA	41.9676327	-87.6682847
Dvorak Park, Chicago 	Jun-20 Despicable Me 2	Dvorak Park, 1119 West Cullerton Street, Chicago, IL 60608, USA	41.8551128	-87.65414229999999
Murray Playground Park, Chicago 	Jun-20 Lee Daniels' The Butler	Chicago, IL, USA	41.8781136	-87.6297982
DuSable Museum of African American History, Chicago 	Jun-21 Fat Albert 	DuSable Museum of African American History, 740 East 56th Place, Chicago, IL 60637, USA	41.7918148	-87.6070993
Ellis Park, Chicago 	Jun-21 Gravity 	Ellis Park, 535 East 35th Street, Chicago, IL 60616, USA	41.8307505	-87.6109745
Hollywood Park, Chicago 	Jun-21 Back to the Future	Hollywood Park, Chicago, IL, USA	41.9867885	-87.7232855
Homan Square Park, Chicago 	Jun-22 Lee Daniels' The Butler	Homan Square Park, 3559 West Arthington Street, Chicago, IL 60624, USA	41.869391	-87.71510649999999
Revere Park, Chicago 	Jun-22 Patang	Paul Revere Park, 2509 West Irving Park Road, Chicago, IL 60618, USA	41.9539282	-87.6911867
Grant Park: Grove 5, Chicago 	Jun-23 High Anxiety	South Grove Street, Chicago, IL, USA	41.8488784	-87.64327809999999
Sherman Park, Chicago 	Jun-24 It's a Mad, Mad, Mad, Mad World	Sherman Park, 1301 West 52nd Street, Chicago, IL 60609, USA	41.79948400000001	-87.657405
Millennium Park, Chicago 	Jun-24 Ghostbusters	Millennium Park, Chicago, IL, USA	41.8827024	-87.6193938
Buttercup Playlot Park, Chicago 	Jun-24 Beasts of the Southern Wild	Chicago, IL, USA	41.8781136	-87.6297982
Fulton River Park, Chicago 	Jun-24 Gravity 	Fulton River Park, 601 West Kinzie Street, Chicago, IL 60654, USA	41.8888903	-87.6437764
Lake Shore Park, Chicago 	Jun-24 Happy Feet	Lake Shore & North Ave, Chicago, IL 60610, USA	41.910497	-87.626317
Portage Park, Chicago 	Jun-25 Monsters University 	Portage Park, Chicago, IL, USA	41.953662	-87.7644903
Chase Park, Chicago 	Jun-25 The Wizard of Oz	Chase Park, 4701 North Ashland Avenue, Chicago, IL 60640, USA	41.9676327	-87.6682847
Mary Bartelme Park, Chicago 	Jun-25 Dirty Dancing	Mary Bartelme Park, 115 South Sangamon Street, Chicago, IL 60607, USA	41.8798824	-87.6503706
Kosciuszko Park, Chicago 	Jun-25 Gravity 	Kosciuszko Park, 2732 North Avers Avenue, Chicago, IL 60647, USA	41.930963	-87.724342
Kenwood Community Park, Chicago 	Jun-26 Mandela: Long Walk to Freedom	Chicago, IL, USA	41.8781136	-87.6297982
West Lawn Park, Chicago 	Jun-26 Cloudy with a Chance of Meatballs 2	West Lawn Park, 4233 West 65th Street, Chicago, IL 60629, USA	41.7731153	-87.72870979999999
Wicker Park, Chicago 	Jun-26 Dr. Strangelove 	Wicker Park, Chicago, IL, USA	41.9088028	-87.6795985
Frank J. Wilson Park, Chicago 	Jun-27 To Kill a Mockingbird 	Frank J Wilson Park, 4630 North Milwaukee Avenue, Chicago, IL 60630, USA	41.9646502	-87.75836249999999
Athletic Field Park, Chicago 	Jun-27 Newsies	Athletic Field Park, 3546 West Addison Street, Chicago, IL 60618, USA	41.9475472	-87.7169538
Columbus Park, Chicago 	Jun-27 Michael Jackson's This is It	Columbus Park, 500 South Central Avenue, Chicago, IL 60644, USA	41.8745029	-87.7701836
Haas Park, Chicago 	Jun-27 Cloudy With a Chance of Meatballs 2 	Haas Park, Chicago, IL 60647, USA	41.9250467	-87.6956289
Osterman Beach, Chicago 	Jun-27 Gypsy 	Kathy Osterman Beach, Illinois 60660, USA	41.9861856	-87.65199679999999
Oriole Park, Chicago 	Jun-28 Despicable Me 2	Oriole Park, Chicago, IL, USA	41.9793922	-87.8152471
Rutherford-Sayre Park, Chicago 	Jun-28 The Lego Movie	Rutherford Sayre Park, 6871 West Belden Avenue, Chicago, IL 60707, USA	41.9202819	-87.7966213
Armour Square Park, Chicago 	Jun-28 Willy Wonka & the Chocolate Factory	Armour Square Park, 3309 South Shields Avenue, Chicago, IL 60616, USA	41.8339319	-87.6351869
Taylor Park, Chicago 	Jun-29 Space Jam	Taylor Park, 39 West 47th Street, Chicago, IL 60609, USA	41.8074059	-87.6275845
Paschen Park, Chicago 	Jun-29 Stanley Ka Dabba	Paschen Park, Chicago, IL 60626, USA	42.0091887	-87.67984059999999
Jackson Park, Chicago 	Jun-30 Jaws 	Jackson Park, Chicago, IL, USA	41.7832522	-87.57825299999999
Ridge Park, Chicago 	Jun-30 Jumanji 	Park Ridge, Park Ridge, IL 60068, USA	42.0102778	-87.8316667
Millennium Park, Chicago 	Jul-1 Top Gun	Millennium Park, Chicago, IL, USA	41.8827024	-87.6193938
Montgomery Ward Park, Chicago 	Jul-1 Captain Phillips	Ward, A. Montgomery Park, West Erie Street, Chicago, IL 60654, USA	41.8937062	-87.6417509
Wentworth Park, Chicago 	Jul-1 Jurassic Park	Wentworth Park, Chicago, IL 60638, USA	41.7880835	-87.7803301
Kenwood Community Park, Chicago 	Jul-2 The Fantastic Mr. Fox 	Chicago, IL, USA	41.8781136	-87.6297982
Moran Playground Park, Chicago 	Jul-2 42	Chicago, IL, USA	41.8781136	-87.6297982
Woodhull Park, Chicago 	Jul-2 The Wiz	Woodhull Park, 7340 South East End Avenue, Chicago, IL 60649, USA	41.7617375	-87.5836585
Gross Park, Chicago 	Jul-5 Man of Steel 	Gross Park, Chicago, IL 60625, USA	41.9689803	-87.696784
Jonquil Playlot, Chicago 	Jul-5 Gravity 	Jonquil Playlot Park, 1001 West Wrightwood Avenue, Chicago, IL 60614, USA	41.92847889999999	-87.6545678
McKinley Park, Chicago 	Jul-6 Mr. Peabody & Sherman	McKinley Park, Chicago, IL, USA	41.8316175	-87.6729074
West Pulman Park, Chicago 	Jul-6 Life of Pi 	West Pullman Park, 401 123rd Street, Chicago, IL 60628, USA	41.6706259	-87.63068369999999
Calumet Park, Chicago 	Jul-7 Saving Mr. Banks	Calumet Park, United States	41.7179843	-87.5284578
Cricket Hill, Chicago 	Jul-7 The Triplets of Belleville	Cricket Hill, Chicago, IL 60640, USA	41.9642848	-87.642746
Nat King Cole Park, Chicago 	Jul-7 Despicable Me 2	Cole Park, Chicago, IL 60619, USA	41.7394058	-87.6152439
Dunbar Park, Chicago 	Jul-8 Hotel Transylvania	Dunbar Park, 300 East 31st Street, Chicago, IL 60616, USA	41.8383955	-87.6206261
Millennium Park, Chicago 	Jul-8 20 Feet from StardomÂ 	Millennium Park, Chicago, IL, USA	41.8827024	-87.6193938
Gompers Park, Chicago 	Jul-8 Cloudy with a Chance of Meatballs 2	Gompers Park, 4222 W West Foster Avenue, Chicago, IL 60630, USA	41.9754946	-87.734866
Hermitage Park, Chicago 	Jul-8 The Amazing Spider-Man	Hermitage Park, 5839 South Wood Street, Chicago, IL 60636, USA	41.7871453	-87.66803139999999
Chicago History Museum, Chicago 	Jul-9 Ferris Bueller's Day Off	Chicago History Museum, 1601 North Clark Street, Chicago, IL 60614, USA	41.9119897	-87.6315267
Piotrowski Park, Chicago 	Jul-9 Happy Feet	Piotrowski Park, 4247 West 31st Street, Chicago, IL 60623, USA	41.8367407	-87.73089519999999
O'Hallaren Park, Chicago 	Jul-10 Gravity	O'Hallaren Park, 8335 South Honore Street, Chicago, IL 60620, USA	41.7423815	-87.66951739999999
Maplewood Playlot Park, Chicago 	Jul-10 The Lego Movie	Chicago, IL, USA	41.8781136	-87.6297982
Normandy Park, Chicago 	Jul-10 Gremlins 	Normandy Park, Chicago, IL 60638, USA	41.7977789	-87.7885919
Wildwood Park, Chicago 	Jul-10 Free Birds	Wildwood Park, North Hiawatha Avenue, Chicago, IL 60646, USA	42.0076111	-87.7803301
Mayfair Park, Chicago 	Jul-11 The Nut Job	Mayfair Park, 4550 West Sunnyside Avenue, Chicago, IL 60630, USA	41.9630637	-87.742038
Jefferson Memorial Park, Chicago 	Jul-11 Frozen 	Jefferson Memorial Park, 4822 North Long Avenue, Chicago, IL 60630, USA	41.76083920000001	-87.6294353
Independence Park, Chicago 	Jul-11 The Avengers	Independence Park, 3945 North Springfield Avenue, Chicago, IL 60618, USA	41.9526374	-87.7237263
Dunham Park, Chicago 	Jul-11 Ghostbusters 	Dunham Park, 4638 North Melvina Avenue, Chicago, IL 60630, USA	41.9658979	-87.7843266
Eugene Field Park, Chicago 	Jul-11 Despicable Me 2	Eugene Field Park, 5100 North Ridgeway Avenue, Chicago, IL 60625, USA	41.9738915	-87.72204680000002
Holstein Park, Chicago 	Jul-11 Moonrise Kingdom	Holstein Park, 2200 North Oakley Avenue, Chicago, IL 60647, USA	41.9216438	-87.6850879
Avondale Park, Chicago 	Jul-12 Rudy 	Avondale Park, 3516 West School Street, Chicago, IL 60618, USA	41.9411053	-87.71396
Brainerd Park, Chicago 	Jul-12 Mandela: Long Walk to Freedom	Brainerd Park, 1246 West 92nd Street, Chicago, IL 60620, USA	41.7278055	-87.65420809999999
Oz Park, Chicago 	Jul-12 Return to Me	Oz Park, 2021 North Burling Street, Chicago, IL 60614, USA	41.9210045	-87.645164
Douglas Park, Chicago 	Jul-13 Willy Wonka & the Chocolate Factory	Douglas Park, Chicago, IL, USA	41.8593746	-87.6950899
Emmerson Park, Chicago 	Jul-13 Despicable Me 2	Emmerson Park, 1820 West Granville Avenue, Chicago, IL 60660, USA	41.9945884	-87.6770674
Lake Shore Park, Chicago 	Jul-13 The Monuments Men	Lake Shore & North Ave, Chicago, IL 60610, USA	41.910497	-87.626317
Mandrake Park, Chicago 	Jul-14 Beasts of the Southern Wild	Mandrake Park, 901 E. Pershing Rd, Chicago, IL 60653, USA	41.8231319	-87.6072208
Pasteur Park, Chicago 	Jul-14 Cloudy with a Chance of Meatballs 2	Pasteur Park, 5825 South Kostner Avenue, Chicago, IL 60629, USA	41.7876517	-87.73274339999999
Millennium Park, Chicago 	Jul-15 O Brother, Where Art Thou?	Millennium Park, Chicago, IL, USA	41.8827024	-87.6193938
Hermosa Park, Chicago 	Jul-15 Fast & Furious 6	Hermosa Park, Chicago, IL 60639, USA	41.9219812	-87.74034569999999
Montgomery Ward Park, Chicago 	Jul-15 Chicago 	Ward, A. Montgomery Park, West Erie Street, Chicago, IL 60654, USA	41.8937062	-87.6417509
Murray Playground Park, Chicago 	Jul-15 The Lorax	Chicago, IL, USA	41.8781136	-87.6297982
Gompers Park, Chicago 	Jul-16 The Muppet Movie 	Gompers Park, 4222 W West Foster Avenue, Chicago, IL 60630, USA	41.9754946	-87.734866
Palmer Park, Chicago 	Jul-16 The Family that Preys	Palmer Park, 201 East 111th Street, Chicago, IL 60628, USA	41.6922968	-87.61763440000001
Calumet Park, Chicago 	Jul-16 Fireproof	Calumet Park, United States	41.7179843	-87.5284578
Skinner Park, Chicago 	Jul-16 The Smurfs 2	Skinner Park, 1331 West Monroe Street, Chicago, IL 60607, USA	41.8790015	-87.660708
Armour Square Park, Chicago 	Jul-17 Singin' in the Rain	Armour Square Park, 3309 South Shields Avenue, Chicago, IL 60616, USA	41.8339319	-87.6351869
Jackie Robinson Park, Chicago 	Jul-17 42	Jackie Robinson Park, 10540 South Morgan Street, Chicago, IL 60643, USA	41.7008834	-87.64793910000002
Wicker Park, Chicago 	Jul-17 The Sandlot 	Wicker Park, Chicago, IL, USA	41.9088028	-87.6795985
Brooks Park, Chicago 	Jul-18 The Smurfs 2 	Brooks Park, 7100 North Harlem Avenue, Chicago, IL 60631, USA	42.0100901	-87.8066753
Fosco Park, Chicago 	Jul-18 Mandela: Long Walk to Freedom	Fosco Park, 1312 South Racine Avenue, Chicago, IL 60608, USA	41.8645051	-87.6571882
