Location	Movie Title	Date	Amenities
"
Edgebrook Park, Chicago "	A League of Their Own	June 7	"
Family friendly activities and games. Also: crying is allowed."
"
Gage Park, Chicago "	It's a Mad, Mad, Mad, Mad World	June 9	"
Family friendly activities and games."
"
Jefferson Memorial Park, Chicago "	Monsters University 	June 12	"
Family friendly activities and games."
"
Commercial Club Playground, Chicago "	Despicable Me 2	June 12	
"
Revere Park, Chicago "	The Goonies	June 13	"
Open space for truffle shuffling."
"
West Chatham Park, Chicago "	Independence  Day	June 13	
"
Independence  Park, Chicago "	Frozen	June 13	"
Family friendly activities and games."
"
Dunham Park, Chicago "	Delivery Man	June 13	"
Family friendly activities and games."
"
Chopin Park, Chicago "	Gremlins	June 14	"
Family friendly activities and games."
"
Oz Park, Chicago "	Rookie of the Year	June 14	"
Room for some serious long toss."
"
Gross Park, Chicago "	On the Waterfront	June 14	"
Lots of chair room for the elderly."
"
Pulaski Park, Chicago "	Gravity	June 14	
"
Holstein Park, Chicago "	Groundhog Day	June 15	"
A 1 in 10,000 chance that Bill Murray randomly shows up."
"
Midway Plaisance Park, Chicago "	Patang	June 15	
"
Wolfe Playground Park, Chicago "	The Lego Movie	June 16	"
Family friendly activities and games that won't hurt like a mother when you step on them."
"
Millenium Park, Chicago "	Strangers on a Train	June 16	"
Walking distance to both the train and strangers."
"
Kedvale Park, Chicago "	Gravity	June 17	
"
Marquette Park, Chicago "	How to Train Your Dragon	June 17	
"
Montgomery Ward Park, Chicago "	As Good As It Gets	June 17	"
Room for dog-walking."
"
Harrison Park, Chicago "	Ghostbusters	June 18	"
Selections from the International Latino Cultural Center."
"
Robichaux Park, Chicago "	42	June 18	
"
Hamilton Park, Chicago "	Gravity 	June 19	"
Family friendly activities and games."
"
Bell Park, Chicago "	The Smurfs 2	June 19	
"
Dunbar Park, Chicago "	Lee Daniels' The Butler	June 19	
"
Oakdale Park, Chicago "	Man of Steel	June 19	"
Bathrooms for long, boring stretches of non-action."
"
Olympia Park, Chicago "	The Lego Movie	June 20	"
Family friendly activities and games."
"
Chase Park, Chicago "	Ghostbusters	June 20	
