Location,Movie Title,Date,Amenities
,,,
"Edgebrook Park, Chicago """,A League of Their Own,7-Jun,
"Family friendly activities and games. Also: crying is allowed.""",,,
,,,
"Gage Park, Chicago ""","It's a Mad, Mad, Mad, Mad World",9-Jun,
"Family friendly activities and games.""",,,
,,,
"Jefferson Memorial Park, Chicago """,Monsters University ,12-Jun,
"Family friendly activities and games.""",,,
,,,
"Commercial Club Playground, Chicago """,Despicable Me 2,12-Jun,
,,,
"Revere Park, Chicago """,The Goonies,13-Jun,
"Open space for truffle shuffling.""",,,
,,,
"West Chatham Park, Chicago """,Independence  Day,13-Jun,
,,,
"Independence  Park, Chicago """,Frozen,13-Jun,
"Family friendly activities and games.""",,,
,,,
"Dunham Park, Chicago """,Delivery Man,13-Jun,
"Family friendly activities and games.""",,,
,,,
"Chopin Park, Chicago """,Gremlins,14-Jun,
"Family friendly activities and games.""",,,
,,,
"Oz Park, Chicago """,Rookie of the Year,14-Jun,
"Room for some serious long toss.""",,,
,,,
"Gross Park, Chicago """,On the Waterfront,14-Jun,
"Lots of chair room for the elderly.""",,,
,,,
"Pulaski Park, Chicago """,Gravity,14-Jun,
,,,
"Holstein Park, Chicago """,Groundhog Day,15-Jun,
"A 1 in 10,000 chance that Bill Murray randomly shows up.""",,,
,,,
"Midway Plaisance Park, Chicago """,Patang,15-Jun,
,,,
"Wolfe Playground Park, Chicago """,The Lego Movie,16-Jun,
"Family friendly activities and games that won't hurt like a mother when you step on them.""",,,
,,,
"Millenium Park, Chicago """,Strangers on a Train,16-Jun,
"Walking distance to both the train and strangers.""",,,
,,,
"Kedvale Park, Chicago """,Gravity,17-Jun,
,,,
"Marquette Park, Chicago """,How to Train Your Dragon,17-Jun,
,,,
"Montgomery Ward Park, Chicago """,As Good As It Gets,17-Jun,
"Room for dog-walking.""",,,
,,,
"Harrison Park, Chicago """,Ghostbusters,18-Jun,
"Selections from the International Latino Cultural Center.""",,,
,,,
"Robichaux Park, Chicago """,42,18-Jun,
,,,
"Hamilton Park, Chicago """,Gravity ,19-Jun,
"Family friendly activities and games.""",,,
,,,
"Bell Park, Chicago """,The Smurfs 2,19-Jun,
,,,
"Dunbar Park, Chicago """,Lee Daniels' The Butler,19-Jun,
,,,
"Oakdale Park, Chicago """,Man of Steel,19-Jun,
"Bathrooms for long, boring stretches of non-action.""",,,
,,,
"Olympia Park, Chicago """,The Lego Movie,20-Jun,
"Family friendly activities and games.""",,,
,,,
"Chase Park, Chicago """,Ghostbusters,20-Jun,
,,,
"Dvorak Park, Chicago """,Despicable Me 2,20-Jun,
,,,
"Murray Playground Park, Chicago """,Lee Daniels' The Butler,20-Jun,
,,,
"DuSable Museum of African American History, Chicago """,Fat Albert ,21-Jun,
,,,
